Profile ID,Topo Date 1,Topo Date 2,Wading Date 1,Wading Date 2,Hydro Date 1,Hydro Date 2,Duration (days)
MA063,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA064,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA065,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA066,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA067,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA068,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA069,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA070,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA071,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA072,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA073,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA074,2025-01-11,2025-01-14,,,2025-01-11,2025-01-12,3 days
MA075,2025-01-11,2025-01-14,,,2025-01-13,,3 days
MA076,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA077,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA078,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA079,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA080,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA081,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA082,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA083,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA084,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA085,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA086,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA087,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA088,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA089,2025-01-11,2025-01-13,,,2025-01-11,2025-01-12,2 days
MA090,2025-01-11,2025-01-12,,,2025-01-11,2025-01-12,1 days
